timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780385341.541,right,four_fingers,0.549266,1.018344,-0.000000,0.556178,0.981256,-0.004257,0.557903,0.944814,-0.018789,0.556089,0.916214,-0.037045,0.548032,0.891820,-0.056190,0.552051,1.000419,-0.029612,0.555849,0.956275,-0.054299,0.559115,0.903303,-0.068629,0.557421,0.861718,-0.076775,0.548903,1.018232,-0.041192,0.554253,0.951531,-0.070605,0.556839,0.878997,-0.081522,0.555582,0.831771,-0.086635,0.541249,1.028638,-0.052910,0.544833,0.969072,-0.083359,0.547398,0.891490,-0.087452,0.549452,0.837167,-0.085301,0.531089,1.028222,-0.064776,0.526567,0.974298,-0.083982,0.523936,0.919500,-0.085170,0.523332,0.879365,-0.083824
1780385342.055,right,four_fingers,0.569302,0.677205,0.000000,0.600227,0.642512,-0.004975,0.620290,0.601745,-0.009732,0.620229,0.563888,-0.012946,0.610305,0.543282,-0.017003,0.592624,0.552804,-0.022670,0.601971,0.482951,-0.032092,0.605866,0.438621,-0.037125,0.607495,0.404890,-0.039843,0.569768,0.551301,-0.024325,0.571086,0.469477,-0.031610,0.570188,0.419202,-0.035922,0.568090,0.384207,-0.039280,0.550076,0.559067,-0.025062,0.547712,0.486783,-0.030683,0.546743,0.442240,-0.035964,0.546713,0.410512,-0.040109,0.533216,0.574321,-0.025574,0.526577,0.521060,-0.031071,0.523544,0.489535,-0.034060,0.522099,0.463718,-0.035835
1780385342.556,right,four_fingers,0.585846,0.610495,0.000000,0.601791,0.568334,0.005930,0.607360,0.531420,0.004631,0.600643,0.505597,0.001926,0.592644,0.492822,-0.002503,0.596914,0.498473,-0.009666,0.595669,0.432420,-0.016692,0.593761,0.395908,-0.019787,0.590997,0.367048,-0.021127,0.583121,0.500993,-0.016749,0.579761,0.427981,-0.023281,0.574393,0.384986,-0.026735,0.569241,0.352562,-0.029031,0.568353,0.511004,-0.022500,0.565071,0.444686,-0.027506,0.561258,0.405259,-0.031474,0.558354,0.376981,-0.034306,0.553345,0.526909,-0.027171,0.547014,0.478739,-0.031749,0.543482,0.449287,-0.033461,0.540161,0.423682,-0.034289
1780385343.072,right,four_fingers,0.574051,0.534589,-0.000000,0.575793,0.494653,0.006561,0.578640,0.459067,0.007564,0.581264,0.435537,0.006499,0.582837,0.415231,0.004338,0.581587,0.438730,0.001423,0.575229,0.404311,-0.003319,0.571507,0.383925,-0.007250,0.570007,0.365933,-0.010645,0.582349,0.443919,-0.006339,0.578014,0.398010,-0.011064,0.576948,0.372265,-0.014270,0.577871,0.350684,-0.017380,0.581751,0.456105,-0.014086,0.582402,0.414030,-0.020261,0.583964,0.389956,-0.024434,0.586515,0.367689,-0.028070,0.580437,0.473815,-0.021077,0.578619,0.452679,-0.028111,0.578684,0.435650,-0.031841,0.579335,0.417249,-0.034980
1780385343.573,right,four_fingers,0.566850,0.637187,0.000000,0.540078,0.620672,-0.008980,0.522444,0.581250,-0.014806,0.530696,0.550775,-0.020635,0.547893,0.548871,-0.027302,0.532169,0.502216,-0.008515,0.520678,0.454895,-0.016197,0.513476,0.423753,-0.023255,0.508523,0.396164,-0.029325,0.549587,0.492566,-0.012057,0.548098,0.429135,-0.018728,0.546444,0.388683,-0.025610,0.545520,0.354873,-0.031115,0.565214,0.498551,-0.017049,0.568671,0.439126,-0.024273,0.569351,0.400027,-0.031454,0.569585,0.366320,-0.036996,0.579107,0.515945,-0.023054,0.585123,0.471981,-0.029363,0.587576,0.441770,-0.032868,0.588817,0.414429,-0.035924
1780385344.115,right,four_fingers,0.575431,0.619917,0.000000,0.548789,0.607642,-0.010629,0.530251,0.567827,-0.015974,0.542110,0.531476,-0.020976,0.561432,0.525634,-0.026672,0.529021,0.498008,-0.008873,0.510981,0.453652,-0.016296,0.499359,0.423725,-0.022881,0.491098,0.397379,-0.028544,0.546104,0.480465,-0.010915,0.538069,0.419008,-0.017145,0.533723,0.379220,-0.023393,0.531118,0.345784,-0.028218,0.563166,0.479710,-0.014623,0.560235,0.422688,-0.021282,0.557999,0.385273,-0.028125,0.556091,0.352398,-0.033279,0.579759,0.489677,-0.019597,0.580706,0.446855,-0.025172,0.580646,0.418267,-0.028329,0.579982,0.392620,-0.031105
1780385344.616,right,four_fingers,0.611721,0.624243,0.000000,0.588459,0.611861,-0.009199,0.573900,0.576383,-0.013886,0.585319,0.542777,-0.018469,0.601559,0.531268,-0.023351,0.561291,0.518334,-0.006145,0.540913,0.480064,-0.013125,0.529584,0.453417,-0.019416,0.521864,0.430677,-0.024348,0.576927,0.500015,-0.008359,0.565983,0.444565,-0.013527,0.559987,0.409237,-0.019284,0.555996,0.380623,-0.023601,0.593992,0.496643,-0.012192,0.588561,0.443935,-0.017914,0.585074,0.411673,-0.023791,0.581552,0.383792,-0.028083,0.611313,0.503400,-0.017183,0.610943,0.463837,-0.021814,0.610217,0.438773,-0.023850,0.608638,0.416602,-0.025606
1780385345.125,right,four_fingers,0.588786,0.639069,0.000000,0.564730,0.639452,-0.008950,0.543155,0.619637,-0.014474,0.548163,0.586471,-0.019771,0.563973,0.565830,-0.025679,0.529948,0.555801,-0.009491,0.505984,0.528827,-0.017185,0.491143,0.509574,-0.023810,0.479661,0.490727,-0.029360,0.542212,0.533446,-0.012002,0.526690,0.484417,-0.017804,0.518438,0.451634,-0.023536,0.512546,0.422975,-0.028216,0.557664,0.526271,-0.015916,0.549554,0.474446,-0.022655,0.543919,0.439662,-0.029350,0.539010,0.409362,-0.034515,0.575013,0.530014,-0.020802,0.574698,0.489767,-0.027389,0.573348,0.461994,-0.030992,0.571163,0.437021,-0.033899
1780385345.666,right,four_fingers,0.491574,0.696524,0.000000,0.464890,0.701211,-0.008347,0.440443,0.679917,-0.013665,0.442148,0.649426,-0.019023,0.458141,0.638007,-0.025441,0.428731,0.608361,-0.008599,0.405674,0.580253,-0.015260,0.389975,0.562449,-0.021682,0.377011,0.544588,-0.027532,0.439529,0.588696,-0.011669,0.425243,0.533412,-0.017444,0.415333,0.499082,-0.023827,0.407186,0.469664,-0.029235,0.452574,0.584391,-0.016045,0.445913,0.527452,-0.022949,0.438985,0.490361,-0.030901,0.432833,0.459178,-0.037071,0.466516,0.591999,-0.021328,0.465952,0.546567,-0.027856,0.463660,0.517302,-0.032165,0.460753,0.491810,-0.035931
1780385346.211,right,four_fingers,0.392869,0.728637,0.000000,0.367742,0.738481,-0.003164,0.346237,0.721137,-0.006009,0.335712,0.698238,-0.010026,0.342660,0.690020,-0.014540,0.333531,0.647948,0.001525,0.316548,0.623505,-0.003144,0.302799,0.611190,-0.008755,0.291276,0.601894,-0.013563,0.339355,0.634274,-0.003423,0.327654,0.582037,-0.007408,0.317926,0.549225,-0.011987,0.311031,0.521612,-0.015940,0.346615,0.632417,-0.009804,0.339724,0.579601,-0.014307,0.332818,0.545792,-0.018833,0.327920,0.517179,-0.022580,0.354152,0.640364,-0.017011,0.349549,0.598964,-0.019795,0.345121,0.571953,-0.021086,0.341594,0.548303,-0.022857
