timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780385480.582,right,pinch,0.597610,0.850017,0.000000,0.575346,0.839805,-0.009625,0.550208,0.808833,-0.018383,0.527202,0.796919,-0.027526,0.507715,0.800152,-0.037266,0.570254,0.719002,-0.009202,0.561188,0.675802,-0.021086,0.551561,0.665172,-0.032253,0.544917,0.663065,-0.039612,0.586407,0.714096,-0.012894,0.583599,0.665190,-0.019565,0.577698,0.640287,-0.026318,0.573072,0.625635,-0.031841,0.603356,0.725983,-0.018640,0.603088,0.681607,-0.025105,0.598251,0.657725,-0.028952,0.594740,0.639865,-0.032281,0.618664,0.750550,-0.025675,0.623265,0.721457,-0.031043,0.622222,0.702270,-0.031595,0.619752,0.686259,-0.032026
1780385481.094,right,pinch,0.633761,0.619821,-0.000000,0.614022,0.604497,-0.002514,0.598770,0.574338,-0.005967,0.584019,0.553520,-0.010906,0.573261,0.533472,-0.015648,0.620356,0.518450,0.001934,0.603707,0.501882,-0.011476,0.587628,0.502625,-0.023826,0.576667,0.510697,-0.030072,0.628385,0.504875,-0.002143,0.626323,0.454941,-0.010767,0.616293,0.425476,-0.016066,0.605493,0.406212,-0.018221,0.638344,0.502933,-0.008220,0.644181,0.451812,-0.015317,0.640158,0.419757,-0.017060,0.634411,0.395314,-0.016415,0.646580,0.512131,-0.015033,0.655120,0.471783,-0.018963,0.653861,0.443315,-0.017894,0.649520,0.419892,-0.015738
1780385481.628,right,pinch,0.628985,0.621564,-0.000000,0.609939,0.609166,-0.003338,0.593810,0.581096,-0.007497,0.578973,0.560390,-0.012775,0.568905,0.539738,-0.017687,0.615836,0.526819,-0.001345,0.597717,0.512407,-0.014415,0.582762,0.515222,-0.026110,0.572405,0.523861,-0.032335,0.624344,0.511810,-0.005243,0.620544,0.461623,-0.016362,0.609217,0.431741,-0.023441,0.596774,0.411252,-0.026780,0.633695,0.508349,-0.010671,0.639096,0.457825,-0.019597,0.635475,0.426249,-0.022706,0.629544,0.400487,-0.022988,0.641590,0.516218,-0.016624,0.650534,0.476800,-0.020624,0.650711,0.449468,-0.019590,0.647611,0.426007,-0.017829
1780385482.144,right,pinch,0.600605,0.620285,-0.000000,0.577403,0.611325,-0.004328,0.556255,0.582251,-0.008978,0.538622,0.561879,-0.014775,0.524684,0.542090,-0.020295,0.574607,0.514665,-0.000958,0.555032,0.500389,-0.016132,0.539338,0.507761,-0.029907,0.528658,0.520321,-0.037329,0.584213,0.496051,-0.005594,0.573025,0.439448,-0.018450,0.558343,0.409182,-0.027567,0.543705,0.388272,-0.031993,0.596409,0.490009,-0.012092,0.592580,0.431756,-0.022973,0.584870,0.397560,-0.027961,0.575492,0.369132,-0.029186,0.608777,0.496755,-0.019174,0.612146,0.449245,-0.024509,0.609894,0.419046,-0.024284,0.604234,0.393529,-0.022987
1780385482.669,right,pinch,0.563572,0.649930,-0.000000,0.535516,0.643512,-0.006135,0.508521,0.615872,-0.012313,0.485497,0.597597,-0.019719,0.465997,0.580377,-0.027183,0.521858,0.533162,-0.000638,0.499769,0.526533,-0.017936,0.484354,0.541291,-0.033887,0.475505,0.558804,-0.042660,0.531094,0.510493,-0.005921,0.512829,0.453056,-0.018998,0.494845,0.424020,-0.029210,0.477972,0.402060,-0.034975,0.545147,0.502744,-0.013678,0.532631,0.440444,-0.026177,0.520815,0.403014,-0.032938,0.508151,0.370200,-0.035749,0.560708,0.509931,-0.022105,0.559733,0.455652,-0.029170,0.556636,0.420796,-0.029991,0.550787,0.390838,-0.029713
1780385483.203,right,pinch,0.531122,0.657451,-0.000000,0.503265,0.648910,-0.006296,0.478218,0.625913,-0.013883,0.455965,0.612779,-0.023216,0.438265,0.593408,-0.032816,0.495721,0.538732,-0.000376,0.471471,0.532155,-0.017892,0.452690,0.549736,-0.035362,0.440547,0.568706,-0.045467,0.503936,0.518903,-0.005979,0.487452,0.460014,-0.018072,0.469266,0.433165,-0.028547,0.452232,0.414440,-0.035060,0.516031,0.513189,-0.014292,0.506381,0.444400,-0.025262,0.496225,0.405293,-0.032418,0.485150,0.373180,-0.036279,0.529052,0.522409,-0.023481,0.529202,0.468621,-0.030311,0.525650,0.434074,-0.031734,0.518113,0.405116,-0.032250
1780385483.720,right,pinch,0.468628,0.670977,-0.000000,0.440173,0.636168,0.005478,0.421761,0.607691,0.003333,0.400596,0.592799,-0.001475,0.382015,0.580590,-0.006198,0.452725,0.540841,0.007030,0.423606,0.527254,-0.005142,0.402969,0.541764,-0.019072,0.388326,0.557187,-0.026851,0.457971,0.532467,-0.000789,0.442355,0.466091,-0.009473,0.426984,0.433420,-0.017806,0.412552,0.409500,-0.023293,0.460848,0.535480,-0.009457,0.454213,0.463668,-0.016342,0.446117,0.421130,-0.021219,0.437648,0.390729,-0.023788,0.457799,0.544751,-0.017648,0.457099,0.493597,-0.019152,0.453451,0.461620,-0.017108,0.447717,0.435887,-0.015655
1780385484.236,right,pinch,0.468009,0.645691,-0.000000,0.439903,0.613539,0.011416,0.422867,0.586102,0.009508,0.402791,0.570267,0.002444,0.384468,0.555281,-0.005122,0.452187,0.518940,0.016182,0.425107,0.506732,0.004759,0.403527,0.517789,-0.009270,0.387730,0.530628,-0.017350,0.456700,0.509261,0.002910,0.441559,0.445247,-0.003012,0.425246,0.411945,-0.009811,0.411366,0.387756,-0.014801,0.458681,0.510757,-0.011591,0.453537,0.438873,-0.015716,0.445054,0.395892,-0.018305,0.437383,0.364868,-0.020436,0.454325,0.518295,-0.025733,0.456815,0.467861,-0.025945,0.454745,0.434661,-0.022936,0.450333,0.406676,-0.021349
1780385484.758,right,pinch,0.439996,0.687912,-0.000000,0.409154,0.648323,0.013559,0.393331,0.617489,0.012632,0.370233,0.599145,0.007729,0.350099,0.582224,0.002178,0.430504,0.539775,0.009079,0.391830,0.529078,-0.003141,0.368963,0.547574,-0.017899,0.354635,0.567342,-0.026373,0.436169,0.537340,-0.002953,0.409790,0.464408,-0.010324,0.390486,0.428336,-0.019596,0.373345,0.405464,-0.026726,0.434767,0.546324,-0.014595,0.418790,0.461464,-0.017762,0.406857,0.418124,-0.020560,0.397393,0.385613,-0.023348,0.422850,0.555597,-0.025082,0.418860,0.498087,-0.025561,0.415666,0.464351,-0.023452,0.411228,0.433797,-0.022401
1780385485.384,right,pinch,0.389365,0.734514,-0.000000,0.350742,0.699268,0.006532,0.325193,0.662732,0.001532,0.295161,0.643655,-0.006038,0.268373,0.626759,-0.013664,0.360241,0.566577,-0.001977,0.315559,0.551475,-0.017086,0.290433,0.581947,-0.032263,0.276159,0.609213,-0.041153,0.370036,0.555605,-0.012044,0.333652,0.470539,-0.027447,0.306341,0.436243,-0.039897,0.283533,0.414420,-0.048016,0.371873,0.563585,-0.021587,0.350114,0.470834,-0.033087,0.332893,0.419505,-0.039641,0.318396,0.381411,-0.043378,0.362934,0.578474,-0.029750,0.354234,0.510594,-0.035627,0.346155,0.468108,-0.035347,0.336000,0.431519,-0.034989
