timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780385144.982,right,open_palm,0.162797,1.003466,-0.000000,0.136310,1.020687,-0.001313,0.107532,1.016749,-0.004851,0.087380,1.013510,-0.010433,0.070816,1.010335,-0.016116,0.098415,0.978526,-0.004144,0.067441,0.970777,-0.019237,0.051510,0.994191,-0.030426,0.045631,1.020735,-0.035942,0.101813,0.966671,-0.010436,0.066106,0.962987,-0.025699,0.049323,0.991305,-0.035839,0.043379,1.020604,-0.040501,0.107355,0.957500,-0.017955,0.070949,0.952381,-0.030751,0.053240,0.978323,-0.036947,0.047076,1.006238,-0.038487,0.115258,0.951476,-0.025628,0.085271,0.942918,-0.035303,0.066712,0.955541,-0.039105,0.057435,0.974641,-0.039987
1780385157.532,right,open_palm,0.169911,0.983841,-0.000000,0.149019,0.994538,-0.000391,0.123587,0.998951,-0.003496,0.102602,1.010514,-0.008187,0.086763,1.024749,-0.014034,0.109570,0.958269,-0.005862,0.076007,0.984275,-0.017551,0.060239,1.017545,-0.026381,0.054811,1.043305,-0.031066,0.109994,0.950833,-0.011306,0.072375,0.980325,-0.020937,0.057597,1.018606,-0.028136,0.052565,1.049147,-0.032914,0.112349,0.951172,-0.017284,0.074567,0.978509,-0.026435,0.060830,1.015796,-0.031279,0.056927,1.043045,-0.033860,0.116076,0.959085,-0.023103,0.084372,0.973662,-0.031616,0.071354,0.999298,-0.034068,0.068369,1.022735,-0.034750
1780385188.884,right,open_palm,0.536270,0.993436,0.000000,0.497457,0.958510,-0.013421,0.465318,0.904514,-0.023757,0.435198,0.872555,-0.034650,0.408560,0.850699,-0.046196,0.499044,0.808111,-0.006332,0.494788,0.740008,-0.014704,0.492672,0.701480,-0.024293,0.491178,0.668096,-0.032593,0.522194,0.806218,-0.009021,0.517897,0.739303,-0.016858,0.512265,0.708184,-0.026175,0.507873,0.686545,-0.033392,0.545352,0.819094,-0.014079,0.545709,0.746477,-0.020919,0.541856,0.705017,-0.027302,0.538641,0.669190,-0.032688,0.567430,0.845437,-0.020837,0.573069,0.794156,-0.026529,0.573341,0.761913,-0.028989,0.572463,0.730999,-0.031285
1780385189.431,right,open_palm,0.581742,0.741328,0.000000,0.547728,0.713143,-0.010324,0.517680,0.670564,-0.017508,0.494817,0.642188,-0.024733,0.474201,0.623428,-0.032637,0.549532,0.578740,-0.010194,0.532411,0.516714,-0.020895,0.521832,0.480264,-0.030553,0.512836,0.447155,-0.037903,0.570505,0.568891,-0.014761,0.567152,0.493280,-0.023579,0.562942,0.445544,-0.032460,0.558297,0.405794,-0.039391,0.590330,0.576255,-0.021214,0.596209,0.508080,-0.030956,0.597686,0.461752,-0.038640,0.597314,0.420141,-0.044331,0.607599,0.596088,-0.028690,0.616672,0.543758,-0.036952,0.621010,0.507410,-0.040092,0.623466,0.473472,-0.042568
1780385189.967,right,open_palm,0.577504,0.745312,0.000000,0.541969,0.717221,-0.010479,0.510016,0.676405,-0.018108,0.485401,0.650928,-0.025718,0.462716,0.636543,-0.034161,0.541959,0.582695,-0.011292,0.523812,0.519312,-0.021979,0.512818,0.482302,-0.031499,0.503667,0.448857,-0.038867,0.563760,0.572100,-0.016082,0.559465,0.494945,-0.024828,0.555815,0.446958,-0.033831,0.552215,0.406195,-0.041002,0.584531,0.579751,-0.022679,0.590544,0.509969,-0.032808,0.593392,0.463933,-0.040857,0.594473,0.422193,-0.046892,0.602845,0.600719,-0.030213,0.611817,0.549116,-0.038843,0.616604,0.514083,-0.041945,0.619646,0.480754,-0.044508
1780385190.468,right,open_palm,0.547526,0.692805,0.000000,0.519721,0.650402,-0.003187,0.505609,0.598971,-0.007345,0.493904,0.565032,-0.013174,0.479132,0.543695,-0.020213,0.526933,0.524522,-0.003952,0.517211,0.463504,-0.014204,0.508564,0.426809,-0.023522,0.500324,0.392380,-0.030801,0.539863,0.523271,-0.012399,0.538466,0.448085,-0.022276,0.534611,0.399126,-0.032745,0.530417,0.356396,-0.040674,0.551551,0.539033,-0.021901,0.563260,0.470287,-0.032799,0.568243,0.423849,-0.042026,0.570689,0.381560,-0.048866,0.560262,0.567132,-0.031716,0.573501,0.521415,-0.041312,0.580597,0.487588,-0.045571,0.586219,0.454675,-0.048986
1780385190.973,right,open_palm,0.554258,0.664858,0.000000,0.575267,0.609401,-0.000948,0.580992,0.548032,-0.006092,0.583273,0.495329,-0.010908,0.592130,0.459737,-0.017019,0.554279,0.514280,-0.024735,0.548593,0.428658,-0.036511,0.543311,0.377413,-0.041420,0.538521,0.336974,-0.044270,0.535550,0.525483,-0.030686,0.522594,0.436930,-0.044198,0.511718,0.378841,-0.051303,0.502464,0.334101,-0.056117,0.517402,0.550131,-0.034993,0.503246,0.480226,-0.046919,0.493771,0.427901,-0.054689,0.487512,0.386838,-0.059843,0.500482,0.584303,-0.038258,0.481246,0.540565,-0.049489,0.469505,0.511443,-0.054715,0.459174,0.485195,-0.057701
1780385191.498,right,open_palm,0.560488,0.712412,0.000000,0.594897,0.652372,-0.008999,0.612100,0.591572,-0.019391,0.622112,0.534039,-0.028100,0.636335,0.496990,-0.037509,0.568373,0.539521,-0.032375,0.571087,0.450025,-0.045119,0.567988,0.393395,-0.051565,0.564352,0.350327,-0.055782,0.540075,0.547183,-0.034123,0.531198,0.451623,-0.048004,0.522136,0.389419,-0.055786,0.514231,0.343595,-0.061344,0.517160,0.568131,-0.034436,0.501762,0.493181,-0.045628,0.491869,0.444882,-0.052670,0.484820,0.409999,-0.057823,0.500533,0.597164,-0.034614,0.479619,0.549287,-0.045390,0.466162,0.518818,-0.050614,0.453981,0.492317,-0.053513
1780385192.050,right,open_palm,0.522932,0.722821,0.000000,0.556631,0.654559,-0.014787,0.575611,0.581664,-0.027911,0.586200,0.516693,-0.038845,0.601975,0.472662,-0.050615,0.518095,0.543195,-0.038110,0.515492,0.441562,-0.053705,0.512169,0.378320,-0.061997,0.507852,0.328727,-0.067504,0.485574,0.558224,-0.038375,0.470048,0.453241,-0.054003,0.458635,0.384050,-0.062808,0.446995,0.329818,-0.069059,0.459984,0.583788,-0.038071,0.434353,0.497510,-0.052539,0.418238,0.437352,-0.063050,0.404375,0.387661,-0.070255,0.442633,0.612048,-0.037953,0.415442,0.559001,-0.052891,0.396509,0.525623,-0.061769,0.379517,0.495441,-0.066994
1780385192.563,right,open_palm,0.394392,0.781968,0.000000,0.384513,0.693892,0.015698,0.367912,0.613918,0.014410,0.350842,0.553733,0.013088,0.337741,0.507173,0.009436,0.353635,0.586271,-0.041130,0.314776,0.467867,-0.058831,0.285356,0.404709,-0.063854,0.261370,0.359401,-0.066279,0.342311,0.619416,-0.057639,0.297908,0.487928,-0.078879,0.260246,0.416829,-0.087607,0.231211,0.365606,-0.093713,0.327998,0.671623,-0.069016,0.289028,0.554576,-0.090081,0.257049,0.487232,-0.104372,0.235052,0.437449,-0.114353,0.310158,0.736303,-0.076010,0.272628,0.694342,-0.102815,0.244701,0.666676,-0.118076,0.220136,0.639011,-0.127055
1780385193.069,right,open_palm,0.317673,0.771135,0.000000,0.265952,0.745844,0.009512,0.230136,0.691339,0.010297,0.201128,0.655352,0.007293,0.176532,0.633304,0.002391,0.235815,0.551088,0.006337,0.201714,0.472698,-0.003090,0.175401,0.430602,-0.011572,0.151310,0.396013,-0.018674,0.249830,0.537648,-0.010820,0.224981,0.429849,-0.019250,0.201072,0.364396,-0.027859,0.181391,0.313357,-0.035064,0.264031,0.549777,-0.028592,0.252822,0.437473,-0.038865,0.238895,0.368338,-0.048785,0.226328,0.307917,-0.057850,0.277672,0.581241,-0.045659,0.277427,0.516536,-0.057606,0.273676,0.466976,-0.063530,0.269596,0.418698,-0.068826
1780385193.605,right,open_palm,0.396029,0.661779,0.000000,0.356207,0.646135,-0.008687,0.322598,0.603329,-0.015062,0.295889,0.575229,-0.022788,0.269847,0.563461,-0.030610,0.341233,0.486304,-0.000390,0.316272,0.432964,-0.012215,0.294614,0.405663,-0.024853,0.273428,0.385457,-0.034527,0.357470,0.469759,-0.006266,0.344747,0.394848,-0.016926,0.321526,0.358589,-0.027191,0.297298,0.335701,-0.035114,0.373363,0.468987,-0.014843,0.365229,0.391899,-0.025961,0.340858,0.362218,-0.034210,0.315678,0.346186,-0.040052,0.389091,0.481759,-0.024830,0.385423,0.421552,-0.034105,0.369258,0.395977,-0.038623,0.349635,0.382500,-0.042144
1780385194.110,right,open_palm,0.464085,0.642404,-0.000000,0.429009,0.627928,-0.004924,0.400427,0.597283,-0.010129,0.378478,0.578502,-0.017252,0.357564,0.565895,-0.024596,0.415558,0.500308,0.002090,0.392162,0.458812,-0.010405,0.373102,0.440618,-0.023542,0.355157,0.434381,-0.032249,0.428879,0.484899,-0.004377,0.419797,0.417138,-0.015579,0.397800,0.393990,-0.025373,0.375575,0.390859,-0.031583,0.442716,0.482979,-0.013115,0.438855,0.417096,-0.022505,0.415791,0.397548,-0.028943,0.393401,0.394918,-0.032809,0.456977,0.493818,-0.023028,0.455998,0.443506,-0.029874,0.439762,0.424951,-0.032597,0.421793,0.420394,-0.034191
1780385194.622,right,open_palm,0.614302,0.649998,0.000000,0.581822,0.637930,-0.008712,0.552266,0.610995,-0.014482,0.533497,0.587257,-0.020532,0.518498,0.567675,-0.026508,0.573650,0.513436,-0.004044,0.558867,0.470877,-0.013701,0.547995,0.447984,-0.023886,0.537667,0.433976,-0.030921,0.593586,0.499470,-0.007475,0.588221,0.440649,-0.015257,0.577352,0.411481,-0.023495,0.565430,0.399088,-0.029219,0.613236,0.499946,-0.012912,0.612720,0.445087,-0.020525,0.601939,0.417303,-0.027042,0.589038,0.406347,-0.031207,0.632323,0.512434,-0.019506,0.636479,0.466551,-0.025948,0.629577,0.443622,-0.028848,0.618548,0.434919,-0.030412
