timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780386241.510,right,three_fingers,0.641076,0.696288,0.000000,0.620983,0.667786,-0.009968,0.611997,0.623177,-0.015071,0.628976,0.601404,-0.018879,0.647383,0.591856,-0.023086,0.627311,0.542716,-0.011974,0.619091,0.490008,-0.017831,0.615874,0.453636,-0.021887,0.614457,0.421207,-0.026472,0.649201,0.544437,-0.016220,0.664465,0.481353,-0.022405,0.676093,0.444148,-0.027339,0.686948,0.413401,-0.031287,0.664563,0.565994,-0.021919,0.684745,0.513318,-0.035703,0.698506,0.481047,-0.046252,0.711289,0.451500,-0.053315,0.675767,0.600172,-0.027692,0.671537,0.575142,-0.043779,0.657333,0.593207,-0.048760,0.645895,0.611728,-0.051713
1780386242.043,right,three_fingers,0.620495,0.739058,0.000000,0.600074,0.711738,-0.011423,0.585494,0.667486,-0.017939,0.598982,0.647413,-0.022992,0.619977,0.640841,-0.028574,0.605180,0.577137,-0.018049,0.597247,0.513950,-0.025857,0.595089,0.472583,-0.030223,0.595449,0.435705,-0.034915,0.630157,0.579223,-0.022726,0.647793,0.509465,-0.029547,0.660294,0.467566,-0.034657,0.672509,0.432794,-0.038880,0.647401,0.603024,-0.028895,0.665616,0.554391,-0.042474,0.679556,0.518689,-0.054388,0.694141,0.486231,-0.062923,0.658507,0.639056,-0.035415,0.648301,0.629487,-0.052154,0.632176,0.645812,-0.059634,0.621034,0.660109,-0.064604
1780386243.475,right,three_fingers,0.562314,0.869806,0.000000,0.554164,0.802591,-0.016076,0.560070,0.735020,-0.031462,0.556735,0.684730,-0.045607,0.550592,0.636021,-0.062043,0.589056,0.739295,-0.050017,0.601714,0.687310,-0.080568,0.605598,0.649497,-0.101638,0.603189,0.615243,-0.116273,0.590119,0.772612,-0.059338,0.608749,0.732421,-0.090675,0.609571,0.693939,-0.107867,0.605061,0.659121,-0.120044,0.586248,0.818479,-0.069465,0.599964,0.800267,-0.102168,0.603238,0.785495,-0.114971,0.604831,0.768241,-0.122256,0.578634,0.868282,-0.079791,0.583034,0.864597,-0.109860,0.581782,0.864774,-0.119627,0.580991,0.863404,-0.125263
1780386244.002,right,three_fingers,0.583276,0.709349,0.000000,0.562613,0.682225,-0.007399,0.549375,0.639774,-0.011981,0.549090,0.607466,-0.016677,0.562031,0.590487,-0.021413,0.575366,0.561906,-0.006747,0.568237,0.507321,-0.012834,0.564627,0.470860,-0.017127,0.563893,0.439992,-0.021248,0.592415,0.569040,-0.012487,0.605991,0.503114,-0.019838,0.613222,0.461763,-0.025441,0.620321,0.429036,-0.028972,0.604267,0.590255,-0.019743,0.611425,0.530849,-0.033900,0.613191,0.498462,-0.043055,0.617885,0.475623,-0.047920,0.609112,0.618736,-0.027098,0.592979,0.583591,-0.042271,0.576947,0.592052,-0.046806,0.567965,0.607468,-0.048611
1780386255.394,right,three_fingers,0.533817,0.978588,0.000000,0.541394,0.938735,-0.015212,0.546733,0.868854,-0.022242,0.544343,0.814225,-0.028819,0.537092,0.773798,-0.036523,0.551862,0.826020,-0.016967,0.557364,0.779809,-0.035242,0.558015,0.741316,-0.048317,0.559708,0.704915,-0.056583,0.537593,0.839112,-0.016634,0.540850,0.817368,-0.036452,0.546807,0.807140,-0.045679,0.550783,0.784422,-0.049900,0.524553,0.860836,-0.017993,0.519245,0.864613,-0.039578,0.525834,0.901169,-0.037352,0.532208,0.916968,-0.031100,0.512072,0.892281,-0.020547,0.506773,0.896340,-0.036533,0.515894,0.918080,-0.033642,0.524803,0.924183,-0.028001
1780386255.914,right,three_fingers,0.601999,0.764194,0.000000,0.577021,0.736550,-0.010796,0.563367,0.690010,-0.016449,0.580351,0.663595,-0.021015,0.600977,0.653280,-0.026275,0.578414,0.595964,-0.013806,0.566889,0.537439,-0.020545,0.561499,0.498514,-0.025267,0.557702,0.463427,-0.030410,0.601976,0.595079,-0.019305,0.614964,0.521679,-0.024690,0.624035,0.477717,-0.030256,0.632440,0.441788,-0.035045,0.619546,0.617778,-0.026380,0.636775,0.559970,-0.038820,0.647303,0.519793,-0.050561,0.658501,0.483343,-0.059336,0.632473,0.654101,-0.033817,0.626194,0.638534,-0.048777,0.614336,0.660688,-0.053837,0.606857,0.681361,-0.057477
1780386256.458,right,three_fingers,0.604179,0.697574,0.000000,0.581720,0.672553,-0.008619,0.570402,0.628724,-0.012948,0.586309,0.601581,-0.016497,0.606267,0.589431,-0.020652,0.583036,0.549403,-0.009488,0.571158,0.494932,-0.014475,0.565717,0.457878,-0.018151,0.562249,0.424429,-0.022501,0.603462,0.547721,-0.014614,0.614008,0.478633,-0.021220,0.622270,0.438212,-0.026622,0.629424,0.405326,-0.030585,0.618921,0.564575,-0.021099,0.635052,0.503347,-0.034960,0.645027,0.464863,-0.045216,0.653926,0.431545,-0.051730,0.631105,0.594787,-0.027598,0.625795,0.557859,-0.042223,0.613288,0.578704,-0.045210,0.603554,0.603944,-0.046758
1780386256.970,right,three_fingers,0.563698,0.689166,0.000000,0.542025,0.667428,-0.007345,0.526941,0.627228,-0.011621,0.529750,0.594144,-0.015424,0.544170,0.576913,-0.019442,0.543950,0.546464,-0.006310,0.533462,0.496705,-0.010995,0.527087,0.463670,-0.013960,0.522790,0.434470,-0.017523,0.561265,0.547589,-0.012224,0.570637,0.478090,-0.021357,0.576762,0.437125,-0.026530,0.581867,0.404066,-0.029213,0.574210,0.564382,-0.019646,0.582707,0.500323,-0.036739,0.588572,0.462983,-0.045719,0.595325,0.431101,-0.049705,0.582339,0.592411,-0.026809,0.568857,0.546030,-0.043111,0.558020,0.568696,-0.045248,0.553380,0.596191,-0.045221
1780386257.480,right,three_fingers,0.547230,0.672129,0.000000,0.521415,0.641393,-0.003892,0.508873,0.602980,-0.008230,0.500491,0.574522,-0.013580,0.502491,0.561001,-0.018992,0.535703,0.537219,-0.007544,0.533217,0.476431,-0.012911,0.529426,0.434904,-0.015416,0.528172,0.403659,-0.017464,0.547523,0.543410,-0.013788,0.557898,0.470507,-0.022589,0.562277,0.422724,-0.027659,0.566624,0.386726,-0.030058,0.554859,0.558586,-0.020687,0.554934,0.493848,-0.035278,0.553258,0.468247,-0.043684,0.555620,0.454733,-0.046894,0.553846,0.579057,-0.027229,0.533262,0.537187,-0.040411,0.517627,0.544737,-0.044180,0.509360,0.561461,-0.045182
1780386257.994,right,three_fingers,0.546165,0.681138,0.000000,0.567738,0.632588,0.003021,0.571259,0.584669,0.000207,0.562985,0.550100,-0.002366,0.552764,0.528234,-0.006182,0.569091,0.566122,-0.018722,0.579817,0.496391,-0.027082,0.583759,0.455698,-0.030294,0.585307,0.423845,-0.031734,0.547463,0.568656,-0.023279,0.545205,0.490359,-0.031222,0.541673,0.444743,-0.035291,0.537556,0.412052,-0.038183,0.526908,0.576382,-0.026112,0.516166,0.505108,-0.033749,0.508132,0.458474,-0.040346,0.501242,0.424878,-0.045039,0.510968,0.587035,-0.027461,0.511374,0.536291,-0.033293,0.513785,0.513104,-0.036033,0.515655,0.496244,-0.037961
