timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780385787.552,right,victory,0.589505,0.850682,0.000000,0.597428,0.795092,-0.005235,0.583622,0.731810,-0.012032,0.560344,0.683994,-0.016895,0.543489,0.651734,-0.021373,0.605110,0.728184,-0.022885,0.600268,0.650456,-0.030898,0.584994,0.611831,-0.033423,0.570631,0.586222,-0.034703,0.587729,0.745675,-0.024126,0.564340,0.668449,-0.031309,0.545279,0.633719,-0.031382,0.532260,0.614565,-0.031838,0.566917,0.763597,-0.024678,0.545203,0.694692,-0.030939,0.540937,0.670082,-0.026851,0.541415,0.658253,-0.023582,0.547053,0.778883,-0.025007,0.534781,0.720844,-0.029700,0.534424,0.700231,-0.025875,0.537435,0.689558,-0.022268
1780385788.104,right,victory,0.610089,0.689722,0.000000,0.625601,0.639958,0.004618,0.622579,0.596472,0.002968,0.607169,0.572348,0.000357,0.592607,0.561472,-0.002957,0.620980,0.571007,-0.009495,0.622488,0.512101,-0.016369,0.621775,0.476485,-0.019909,0.620771,0.449826,-0.021203,0.602116,0.574326,-0.013108,0.589674,0.511737,-0.017287,0.580682,0.477266,-0.017506,0.572390,0.452941,-0.017483,0.585901,0.584923,-0.015163,0.575399,0.540968,-0.016217,0.582031,0.549472,-0.011572,0.587141,0.565330,-0.007471,0.573939,0.599595,-0.016929,0.571872,0.569734,-0.014888,0.578086,0.575414,-0.008701,0.582736,0.586881,-0.003218
1780385788.636,right,victory,0.605953,0.692661,0.000000,0.617227,0.642519,0.005866,0.612295,0.600070,0.004114,0.597368,0.580620,0.000880,0.582668,0.573440,-0.003191,0.613695,0.577887,-0.009342,0.612826,0.520631,-0.016491,0.610470,0.485680,-0.019950,0.607867,0.459456,-0.021218,0.597827,0.583470,-0.014699,0.585380,0.522217,-0.020334,0.574402,0.486903,-0.021490,0.564483,0.461968,-0.021893,0.582381,0.595728,-0.018343,0.567147,0.553332,-0.021129,0.571477,0.563455,-0.016398,0.576453,0.578863,-0.011802,0.569601,0.612390,-0.021525,0.563121,0.580815,-0.020732,0.568209,0.586834,-0.014178,0.573317,0.597829,-0.008242
1780385789.151,right,victory,0.616693,0.624556,0.000000,0.588263,0.602599,-0.002473,0.572610,0.574043,-0.007357,0.560712,0.555259,-0.014057,0.555263,0.539063,-0.020131,0.599637,0.507411,-0.004012,0.587268,0.467131,-0.012483,0.577299,0.439288,-0.018084,0.568272,0.419060,-0.021494,0.605561,0.509807,-0.009307,0.592679,0.456306,-0.020876,0.579690,0.425142,-0.027995,0.569075,0.403371,-0.031077,0.606573,0.521845,-0.014881,0.573638,0.502487,-0.027742,0.563191,0.525363,-0.028454,0.561766,0.543227,-0.024954,0.601351,0.541061,-0.020726,0.573629,0.530288,-0.028553,0.567743,0.547513,-0.026799,0.569236,0.561730,-0.023115
1780385789.656,right,victory,0.630406,0.618974,0.000000,0.610778,0.602967,-0.005215,0.595991,0.569947,-0.010302,0.591249,0.543174,-0.017385,0.599166,0.525258,-0.024121,0.610843,0.504928,-0.003236,0.597815,0.461693,-0.011148,0.590239,0.436112,-0.015325,0.585336,0.414093,-0.017605,0.626630,0.502308,-0.008191,0.626154,0.444707,-0.018220,0.623653,0.411288,-0.023478,0.621824,0.386622,-0.024907,0.639773,0.511657,-0.014307,0.622453,0.485534,-0.029491,0.610706,0.514686,-0.031612,0.605890,0.539164,-0.028037,0.648394,0.527482,-0.020669,0.629558,0.508498,-0.031019,0.617484,0.529345,-0.029991,0.611536,0.549369,-0.026349
1780385790.200,right,victory,0.642882,0.618057,0.000000,0.621576,0.602585,-0.007407,0.605897,0.567734,-0.013817,0.603192,0.536447,-0.021845,0.612269,0.515250,-0.029494,0.622871,0.496324,-0.006219,0.611295,0.451235,-0.014696,0.604510,0.424101,-0.019466,0.600483,0.399641,-0.022333,0.639882,0.494349,-0.010640,0.642516,0.433200,-0.021048,0.641211,0.397102,-0.026872,0.640753,0.369888,-0.028994,0.654003,0.505576,-0.016248,0.641100,0.475273,-0.031819,0.627058,0.503859,-0.034080,0.620180,0.529327,-0.030728,0.663906,0.523403,-0.022252,0.648395,0.497570,-0.032882,0.635719,0.518097,-0.031569,0.628986,0.539824,-0.027792
1780385790.747,right,victory,0.641562,0.624855,0.000000,0.618696,0.599768,-0.006212,0.604978,0.555913,-0.012566,0.600283,0.523916,-0.021596,0.609594,0.500714,-0.030238,0.633098,0.484947,-0.001876,0.620364,0.436476,-0.011051,0.613093,0.407230,-0.016626,0.608552,0.380482,-0.020222,0.650814,0.484998,-0.008382,0.653786,0.420495,-0.020739,0.651568,0.380970,-0.028012,0.649083,0.349664,-0.030740,0.664073,0.498260,-0.016429,0.640775,0.458915,-0.035791,0.622399,0.492399,-0.038930,0.613912,0.521742,-0.035010,0.670583,0.518688,-0.024785,0.646393,0.487329,-0.038758,0.629837,0.510089,-0.038397,0.620992,0.534185,-0.034603
1780385791.279,right,victory,0.680654,0.653832,0.000000,0.656364,0.629423,-0.008580,0.637846,0.587367,-0.016519,0.637018,0.550305,-0.026446,0.652101,0.530036,-0.036016,0.657142,0.503357,-0.008560,0.642696,0.446196,-0.019490,0.634302,0.411636,-0.025588,0.628546,0.381524,-0.029267,0.678215,0.501826,-0.014106,0.683228,0.426595,-0.026509,0.683611,0.382518,-0.033201,0.684077,0.348828,-0.035637,0.696294,0.517398,-0.021033,0.682691,0.479210,-0.039571,0.666812,0.512941,-0.042226,0.658625,0.542480,-0.038270,0.710516,0.541897,-0.028429,0.692967,0.512376,-0.041101,0.678030,0.536836,-0.039458,0.669879,0.562197,-0.034969
1780385791.789,right,victory,0.564149,0.715972,0.000000,0.528613,0.699098,-0.010165,0.508135,0.678990,-0.020489,0.492788,0.658939,-0.032198,0.486086,0.645168,-0.042582,0.528867,0.583618,-0.009926,0.506957,0.543403,-0.022459,0.490998,0.515868,-0.030305,0.477458,0.493822,-0.034602,0.541248,0.579957,-0.013913,0.517845,0.523858,-0.027169,0.502656,0.490334,-0.032447,0.491472,0.462398,-0.033871,0.550504,0.589704,-0.019655,0.511463,0.576253,-0.037362,0.501000,0.613989,-0.037526,0.501340,0.643896,-0.031963,0.552819,0.612904,-0.026406,0.519483,0.607673,-0.037923,0.507633,0.632380,-0.035863,0.504574,0.654363,-0.030984
1780385792.329,right,victory,0.432597,0.741556,0.000000,0.393389,0.740952,-0.005303,0.371641,0.722053,-0.014046,0.352979,0.709631,-0.024643,0.339716,0.699291,-0.034139,0.391527,0.625391,-0.009409,0.368510,0.581375,-0.020544,0.350107,0.551975,-0.027823,0.333487,0.534636,-0.032669,0.397671,0.623165,-0.014989,0.371324,0.568348,-0.031605,0.346361,0.543207,-0.041308,0.326994,0.529757,-0.045991,0.397970,0.636218,-0.020726,0.352702,0.632724,-0.036534,0.349691,0.669655,-0.034602,0.356247,0.691941,-0.028663,0.392530,0.660591,-0.027145,0.356711,0.666447,-0.036176,0.356394,0.692642,-0.032718,0.364666,0.708471,-0.027503
1780385792.915,right,victory,0.396031,0.735582,0.000000,0.362135,0.731202,-0.000899,0.344921,0.712263,-0.006975,0.327823,0.701400,-0.015313,0.312983,0.698168,-0.022808,0.361435,0.619658,-0.003022,0.335662,0.579963,-0.010897,0.317054,0.555976,-0.016458,0.301016,0.540081,-0.020414,0.363615,0.619755,-0.009021,0.332789,0.573024,-0.019797,0.310600,0.548421,-0.026425,0.294778,0.532208,-0.030126,0.361241,0.634671,-0.015027,0.318870,0.632065,-0.025028,0.317089,0.665695,-0.022393,0.323932,0.685048,-0.017832,0.354645,0.658869,-0.021594,0.323095,0.667238,-0.027926,0.323745,0.690281,-0.024829,0.331850,0.701901,-0.020676
1780385793.473,right,victory,0.473990,0.701123,0.000000,0.472059,0.633644,0.004313,0.452077,0.593604,0.001781,0.428014,0.589380,-0.002450,0.408731,0.603708,-0.007325,0.448137,0.570990,-0.010972,0.425825,0.509467,-0.017861,0.410110,0.479630,-0.020399,0.396702,0.458278,-0.021305,0.429478,0.593015,-0.016646,0.393043,0.538879,-0.023007,0.369327,0.512451,-0.024859,0.351170,0.495422,-0.025693,0.414913,0.623163,-0.020456,0.386476,0.593803,-0.024573,0.396814,0.606544,-0.020147,0.408210,0.620203,-0.015538,0.405292,0.654696,-0.023892,0.392178,0.637751,-0.024325,0.401721,0.644418,-0.017680,0.411229,0.650662,-0.011543
