timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780370770.691,right,index_point,0.565096,0.683778,-0.000000,0.521806,0.674677,-0.009875,0.493004,0.655904,-0.022734,0.476288,0.641368,-0.036310,0.486595,0.649541,-0.049511,0.503296,0.557724,-0.018936,0.483587,0.524573,-0.034469,0.464444,0.506193,-0.042848,0.448722,0.494250,-0.049113,0.524679,0.554822,-0.023571,0.491377,0.617129,-0.040736,0.497706,0.649169,-0.039882,0.507806,0.643585,-0.036949,0.542738,0.576865,-0.029919,0.510212,0.651664,-0.043283,0.514856,0.667404,-0.035888,0.523879,0.654850,-0.028859,0.554347,0.611137,-0.038110,0.526272,0.667733,-0.046311,0.525694,0.676228,-0.042776,0.531545,0.664301,-0.038314
1780370771.197,right,index_point,0.561628,0.683656,-0.000000,0.523011,0.670199,-0.010569,0.495067,0.646491,-0.021699,0.485760,0.634587,-0.033039,0.502031,0.643907,-0.043829,0.511822,0.548689,-0.017067,0.497307,0.513705,-0.030819,0.481597,0.495044,-0.039731,0.467479,0.481543,-0.047053,0.535353,0.542615,-0.020627,0.507290,0.604068,-0.035201,0.507826,0.634431,-0.035981,0.514793,0.631725,-0.034663,0.554695,0.565242,-0.025898,0.524564,0.642551,-0.036051,0.523914,0.656203,-0.029653,0.529975,0.642586,-0.023927,0.566341,0.600424,-0.033288,0.539748,0.660499,-0.041162,0.536905,0.666369,-0.038567,0.541183,0.650327,-0.034554
1780370771.708,right,index_point,0.567354,0.680796,-0.000000,0.533387,0.676206,-0.011660,0.504011,0.649752,-0.020991,0.502618,0.628795,-0.030294,0.526332,0.633207,-0.038901,0.515151,0.547943,-0.015608,0.504954,0.508322,-0.027225,0.495302,0.485386,-0.035988,0.487137,0.460516,-0.044664,0.540190,0.531372,-0.018206,0.524439,0.584565,-0.032463,0.524531,0.618848,-0.034862,0.529622,0.619970,-0.035004,0.562462,0.545978,-0.022433,0.545451,0.620567,-0.031390,0.543005,0.643530,-0.026351,0.546911,0.633725,-0.022275,0.579354,0.575503,-0.029084,0.563364,0.638137,-0.036076,0.559484,0.653259,-0.034733,0.561618,0.642562,-0.032358
1780370772.236,right,index_point,0.584482,0.670281,-0.000000,0.555636,0.667923,-0.017011,0.533021,0.644626,-0.029564,0.545578,0.622380,-0.040962,0.570704,0.603562,-0.051022,0.532573,0.540261,-0.021880,0.529005,0.494643,-0.037329,0.530560,0.462061,-0.049034,0.532979,0.431877,-0.058691,0.556915,0.516966,-0.021985,0.565361,0.566990,-0.043313,0.565410,0.609022,-0.049318,0.563358,0.618209,-0.050952,0.580751,0.519704,-0.024130,0.587318,0.575894,-0.039656,0.582164,0.608743,-0.036080,0.576979,0.609903,-0.031926,0.603345,0.533515,-0.028913,0.607045,0.583813,-0.040687,0.599950,0.613219,-0.040098,0.592915,0.617505,-0.037261
1780370772.746,right,index_point,0.591187,0.648340,-0.000000,0.571567,0.654188,-0.022073,0.561553,0.637579,-0.038250,0.583995,0.621444,-0.052197,0.604221,0.599695,-0.064221,0.554517,0.545403,-0.029570,0.559500,0.491492,-0.047855,0.569963,0.459916,-0.060266,0.579486,0.430257,-0.069891,0.573981,0.520574,-0.026991,0.592288,0.563945,-0.052545,0.595586,0.613513,-0.059176,0.591504,0.626772,-0.060767,0.592370,0.519437,-0.026604,0.610962,0.561695,-0.047197,0.609569,0.599941,-0.043289,0.601988,0.605655,-0.037842,0.609270,0.531306,-0.028891,0.623209,0.571303,-0.045105,0.620092,0.600721,-0.045387,0.611334,0.605472,-0.042317
1780370773.252,right,index_point,0.589411,0.639363,0.000000,0.574653,0.659727,-0.030072,0.570197,0.659131,-0.048438,0.587276,0.649927,-0.060599,0.601011,0.632256,-0.070308,0.550703,0.577043,-0.047816,0.566886,0.556078,-0.071443,0.584834,0.541331,-0.085276,0.600724,0.526341,-0.093682,0.567872,0.553604,-0.039761,0.594696,0.591740,-0.066309,0.596243,0.626900,-0.072774,0.589228,0.632939,-0.074157,0.585419,0.548426,-0.033430,0.610535,0.600408,-0.055692,0.605651,0.635129,-0.051663,0.593895,0.636505,-0.045482,0.599542,0.553265,-0.029708,0.616505,0.600234,-0.045657,0.614067,0.629483,-0.043441,0.606820,0.632177,-0.038141
1780370773.768,right,index_point,0.551006,0.667350,-0.000000,0.520818,0.656351,-0.010193,0.492789,0.649232,-0.017971,0.481877,0.662950,-0.024712,0.491753,0.679544,-0.031002,0.505217,0.582521,-0.018449,0.490073,0.595565,-0.029496,0.477775,0.614472,-0.035918,0.468945,0.633722,-0.039319,0.526360,0.585106,-0.020160,0.501252,0.675146,-0.029955,0.500466,0.692837,-0.030919,0.504540,0.693364,-0.029852,0.546217,0.610976,-0.022854,0.518227,0.697512,-0.031157,0.518048,0.689501,-0.026859,0.522001,0.671663,-0.021547,0.560893,0.640909,-0.026806,0.533754,0.700735,-0.035478,0.531337,0.694181,-0.032422,0.535277,0.675379,-0.026700
1780370774.274,right,index_point,0.541512,0.685223,-0.000000,0.523787,0.637489,-0.000307,0.492349,0.620704,-0.007510,0.464598,0.643099,-0.014617,0.449882,0.670813,-0.023205,0.486530,0.588385,-0.023415,0.447636,0.580884,-0.035215,0.424457,0.582366,-0.041060,0.405797,0.586132,-0.044851,0.493222,0.619253,-0.029134,0.450639,0.656644,-0.040920,0.452233,0.676170,-0.040326,0.459044,0.679807,-0.039619,0.498186,0.657364,-0.033786,0.463412,0.690160,-0.043480,0.475242,0.691345,-0.037517,0.487369,0.681197,-0.032588,0.502026,0.694158,-0.038017,0.472509,0.711976,-0.044107,0.483233,0.710957,-0.038188,0.494743,0.702399,-0.032915
1780370774.797,right,index_point,0.354587,0.791258,-0.000000,0.346947,0.725073,0.004414,0.320220,0.675640,0.000623,0.285948,0.657306,-0.003815,0.261561,0.665698,-0.008870,0.320653,0.630956,-0.013194,0.268386,0.635428,-0.023572,0.260691,0.658899,-0.026875,0.264572,0.671974,-0.027385,0.310517,0.664059,-0.020451,0.251031,0.660037,-0.030076,0.252759,0.688608,-0.028316,0.266550,0.704176,-0.025335,0.298474,0.705800,-0.026553,0.252082,0.710375,-0.035070,0.261187,0.732287,-0.028530,0.276495,0.738039,-0.022431,0.285868,0.753114,-0.031648,0.251835,0.745824,-0.037067,0.262097,0.761353,-0.030182,0.275911,0.765734,-0.023364
1780370775.341,right,index_point,0.196730,0.828926,-0.000000,0.129624,0.790644,-0.008522,0.094555,0.733247,-0.023585,0.071367,0.690383,-0.040423,0.069813,0.695393,-0.057415,0.137867,0.607614,-0.019714,0.099912,0.540294,-0.040011,0.074273,0.493831,-0.051388,0.054572,0.453510,-0.060663,0.156753,0.620625,-0.028975,0.080430,0.660736,-0.059087,0.082395,0.719775,-0.061780,0.098197,0.733417,-0.058917,0.164441,0.657859,-0.039618,0.092334,0.725361,-0.066148,0.104716,0.769028,-0.058021,0.125733,0.768659,-0.047588,0.163490,0.706641,-0.051555,0.104763,0.759753,-0.069014,0.112639,0.793624,-0.064440,0.130026,0.794338,-0.057352
