timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780369338.117,right,open_palm,0.560352,1.084444,-0.000000,0.515111,1.054152,-0.015038,0.480546,0.994906,-0.031672,0.453170,0.946425,-0.048174,0.430056,0.901424,-0.065590,0.520495,0.926678,-0.023779,0.517653,0.848562,-0.042038,0.512124,0.817301,-0.057305,0.505185,0.803167,-0.066962,0.550540,0.934017,-0.027445,0.547176,0.855358,-0.046026,0.538649,0.824386,-0.061583,0.528659,0.812890,-0.071160,0.578029,0.952282,-0.032449,0.577665,0.862287,-0.047956,0.570048,0.812058,-0.058621,0.560023,0.777367,-0.064755,0.603523,0.978134,-0.038008,0.607342,0.908299,-0.049514,0.606254,0.869450,-0.054190,0.602157,0.840488,-0.056508
1780369338.621,right,open_palm,0.525327,0.745126,0.000000,0.483511,0.726446,-0.013012,0.445639,0.692044,-0.022947,0.413525,0.671397,-0.032995,0.385152,0.667569,-0.043813,0.473955,0.559289,-0.012119,0.454074,0.487103,-0.022517,0.442470,0.443863,-0.032603,0.433636,0.404777,-0.040938,0.498613,0.544762,-0.016970,0.486808,0.457318,-0.024563,0.482730,0.402929,-0.032494,0.481519,0.360009,-0.039535,0.524615,0.550178,-0.024176,0.525299,0.469348,-0.033662,0.528617,0.420219,-0.040785,0.531116,0.378491,-0.046761,0.549731,0.569837,-0.032894,0.559629,0.508452,-0.041261,0.567944,0.469130,-0.044252,0.574275,0.433345,-0.047079
1780369339.150,right,open_palm,0.523408,0.735293,0.000000,0.481556,0.717005,-0.013462,0.444167,0.683706,-0.023602,0.412204,0.664056,-0.033931,0.384356,0.658566,-0.044902,0.474302,0.549912,-0.011246,0.454989,0.478785,-0.021119,0.443404,0.436412,-0.031213,0.434521,0.397464,-0.039613,0.498678,0.535362,-0.015666,0.486593,0.449017,-0.022638,0.481888,0.394472,-0.030555,0.480255,0.351011,-0.037689,0.524385,0.540796,-0.022512,0.525524,0.461824,-0.031217,0.529093,0.413943,-0.038236,0.531967,0.373296,-0.044240,0.549034,0.560043,-0.031011,0.560029,0.500745,-0.038751,0.569021,0.463366,-0.041521,0.576274,0.429396,-0.044205
1780369339.665,right,open_palm,0.525701,0.739864,0.000000,0.503152,0.683518,0.012575,0.495962,0.623318,0.013246,0.493406,0.578610,0.009302,0.489706,0.536583,0.004449,0.496381,0.554651,0.010521,0.492929,0.476976,0.004639,0.488335,0.427911,-0.000965,0.485287,0.384664,-0.005577,0.499760,0.552872,-0.003866,0.493523,0.466442,-0.009615,0.488788,0.408672,-0.014787,0.486529,0.361745,-0.019510,0.502929,0.562309,-0.018243,0.501709,0.477883,-0.022236,0.498834,0.421104,-0.025509,0.497384,0.374513,-0.029981,0.505675,0.578362,-0.032176,0.508939,0.520433,-0.034868,0.511069,0.481988,-0.035259,0.513126,0.448698,-0.037036
1780369340.168,right,open_palm,0.508918,0.720151,0.000000,0.532593,0.679208,-0.006933,0.547709,0.634499,-0.016288,0.561046,0.596526,-0.024843,0.577986,0.577387,-0.034466,0.514900,0.584947,-0.027119,0.517931,0.509305,-0.038171,0.517669,0.463839,-0.043304,0.517068,0.428675,-0.046802,0.495324,0.592833,-0.030630,0.486896,0.509861,-0.042533,0.480896,0.457462,-0.048673,0.475980,0.418127,-0.052976,0.477666,0.611985,-0.033366,0.466112,0.545590,-0.045028,0.459779,0.497330,-0.053494,0.455441,0.458874,-0.059080,0.462601,0.636636,-0.035690,0.445506,0.597732,-0.047414,0.433421,0.570621,-0.054027,0.422548,0.545858,-0.058022
1780369340.671,right,open_palm,0.519898,0.739316,0.000000,0.544120,0.697087,0.002973,0.555554,0.655537,0.002507,0.552688,0.614295,0.002137,0.547718,0.583896,0.001220,0.530590,0.608859,-0.007849,0.522700,0.541631,-0.011027,0.515999,0.510685,-0.011388,0.510283,0.493226,-0.010595,0.510295,0.615506,-0.010901,0.498263,0.541827,-0.013645,0.489318,0.506079,-0.013521,0.482792,0.485814,-0.012862,0.493373,0.630979,-0.012867,0.482145,0.563284,-0.014355,0.475659,0.528768,-0.014402,0.471929,0.506629,-0.014388,0.479635,0.653700,-0.014010,0.468425,0.606140,-0.014473,0.464317,0.580698,-0.012553,0.463198,0.560766,-0.010489
1780369341.186,right,open_palm,0.540890,0.705629,0.000000,0.509992,0.691371,-0.008705,0.485588,0.660828,-0.014264,0.469414,0.632964,-0.020178,0.456085,0.608378,-0.025800,0.514302,0.577731,-0.001105,0.501774,0.534363,-0.008123,0.493121,0.509862,-0.016276,0.485656,0.489008,-0.022403,0.531138,0.567448,-0.003461,0.525724,0.511323,-0.008193,0.518551,0.477954,-0.014465,0.510474,0.453215,-0.019777,0.546752,0.568276,-0.007967,0.544664,0.515449,-0.012914,0.537260,0.485761,-0.017931,0.527481,0.464294,-0.021914,0.561734,0.577856,-0.013793,0.563152,0.534252,-0.018514,0.558121,0.509679,-0.021019,0.549209,0.492342,-0.022894
1780369341.701,right,open_palm,0.550167,0.711265,0.000000,0.519416,0.695610,-0.007567,0.494612,0.659786,-0.011723,0.477375,0.630071,-0.016413,0.462352,0.607431,-0.020992,0.522175,0.576051,0.001408,0.510689,0.531910,-0.004649,0.502936,0.506094,-0.012119,0.496246,0.483276,-0.018139,0.539539,0.566351,-0.001739,0.534397,0.510066,-0.006176,0.528291,0.475588,-0.012394,0.521629,0.447845,-0.017751,0.555740,0.568562,-0.007035,0.553002,0.515285,-0.012582,0.546424,0.484240,-0.017467,0.537836,0.459452,-0.021405,0.571373,0.580067,-0.013488,0.573954,0.536733,-0.018715,0.570695,0.510661,-0.021200,0.563974,0.489420,-0.023250
1780369342.206,right,open_palm,0.564759,0.714302,0.000000,0.534253,0.692065,-0.008802,0.512765,0.646576,-0.013391,0.498400,0.609497,-0.017993,0.483808,0.583113,-0.022775,0.542101,0.569887,-0.002629,0.534646,0.519021,-0.009181,0.529562,0.488297,-0.016554,0.525780,0.460503,-0.022732,0.561189,0.564819,-0.005484,0.559653,0.504611,-0.010572,0.557665,0.467263,-0.017092,0.555411,0.436662,-0.022701,0.578434,0.573058,-0.010247,0.578734,0.516563,-0.016186,0.576378,0.481810,-0.021385,0.572823,0.451071,-0.025885,0.594284,0.591084,-0.016144,0.599179,0.548379,-0.021955,0.599671,0.519565,-0.024935,0.598386,0.492078,-0.027523
1780369342.708,right,open_palm,0.580400,0.728821,0.000000,0.549076,0.709261,-0.010519,0.524415,0.671244,-0.016392,0.505248,0.640306,-0.021923,0.488800,0.619247,-0.027443,0.552351,0.581809,-0.004811,0.544209,0.524312,-0.011089,0.540649,0.489852,-0.017772,0.539000,0.460454,-0.023262,0.572784,0.574989,-0.007249,0.572241,0.508840,-0.011038,0.573256,0.468882,-0.016139,0.575217,0.437880,-0.020782,0.591672,0.582857,-0.011812,0.594571,0.521458,-0.016662,0.596136,0.486058,-0.020616,0.597500,0.455049,-0.024444,0.609068,0.601569,-0.017763,0.616304,0.558258,-0.022305,0.620591,0.531018,-0.023722,0.624350,0.504626,-0.025282
