timestamp,handedness,gesture,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
1780385263.461,right,thumb_down,0.662074,0.856806,-0.000000,0.609347,0.845726,-0.004863,0.561765,0.882535,-0.015620,0.533631,0.944776,-0.025624,0.524447,1.002871,-0.039818,0.550717,0.851303,-0.036491,0.518786,0.971134,-0.050463,0.505327,1.041429,-0.057940,0.495923,1.080924,-0.063138,0.582643,0.865757,-0.042092,0.549585,0.992269,-0.054004,0.538747,1.062295,-0.059435,0.533633,1.104543,-0.065940,0.611497,0.888789,-0.045596,0.576217,1.006695,-0.058358,0.562468,1.069526,-0.061661,0.554582,1.101181,-0.065381,0.637903,0.916605,-0.048158,0.608106,1.006274,-0.061638,0.594872,1.053058,-0.062450,0.588556,1.078276,-0.062401
1780385263.968,right,thumb_down,0.654546,0.571094,-0.000000,0.616531,0.592538,-0.019553,0.580277,0.615409,-0.036202,0.556639,0.654748,-0.051483,0.543257,0.695227,-0.063873,0.560968,0.473925,-0.022845,0.561474,0.534820,-0.039548,0.581756,0.557049,-0.048252,0.588346,0.542816,-0.053992,0.580781,0.441059,-0.023430,0.584507,0.518175,-0.039161,0.600597,0.543593,-0.042750,0.603297,0.522893,-0.044878,0.607599,0.427958,-0.026236,0.608732,0.495537,-0.039491,0.618737,0.522328,-0.035167,0.620449,0.503975,-0.031795,0.634508,0.424699,-0.031622,0.633426,0.466604,-0.036945,0.636247,0.496840,-0.031922,0.638840,0.492410,-0.027801
1780385264.485,right,thumb_down,0.626463,0.475378,-0.000000,0.592195,0.511340,-0.019874,0.557571,0.545807,-0.035612,0.539190,0.593039,-0.049690,0.534703,0.642618,-0.061057,0.524659,0.418202,-0.022329,0.530628,0.466363,-0.035556,0.552740,0.481913,-0.042288,0.557241,0.472800,-0.047327,0.537375,0.377135,-0.021710,0.549131,0.440975,-0.034241,0.568429,0.460078,-0.036560,0.568564,0.442023,-0.038494,0.560167,0.352645,-0.023031,0.567605,0.409885,-0.033233,0.580753,0.431559,-0.029034,0.580350,0.416199,-0.026320,0.584698,0.337092,-0.026965,0.586639,0.373811,-0.030328,0.591533,0.401497,-0.025336,0.591915,0.400429,-0.021700
1780385264.993,right,thumb_down,0.602592,0.462346,-0.000000,0.570441,0.506531,-0.019935,0.538897,0.548148,-0.035974,0.523600,0.598739,-0.050409,0.522527,0.649296,-0.061951,0.495626,0.425541,-0.021864,0.505957,0.475934,-0.035044,0.530256,0.484255,-0.041389,0.533250,0.470662,-0.046218,0.505584,0.381525,-0.021490,0.522626,0.444863,-0.034391,0.544274,0.457374,-0.036325,0.542390,0.437297,-0.037801,0.526711,0.351246,-0.023113,0.538413,0.407539,-0.033740,0.554128,0.424422,-0.028741,0.552208,0.407495,-0.025380,0.550388,0.329143,-0.027378,0.555281,0.365028,-0.030871,0.563056,0.390921,-0.025274,0.563408,0.388156,-0.021106
1780385265.523,right,thumb_down,0.603473,0.451425,-0.000000,0.569462,0.479428,-0.011911,0.525675,0.489326,-0.019243,0.490870,0.506723,-0.027561,0.474407,0.538096,-0.032862,0.516282,0.409638,-0.000830,0.491340,0.389708,-0.016491,0.515056,0.416120,-0.023101,0.525609,0.423014,-0.025622,0.528169,0.379743,-0.001871,0.508239,0.367519,-0.017565,0.533617,0.401755,-0.018127,0.537150,0.398914,-0.014784,0.543553,0.353385,-0.006327,0.523166,0.341876,-0.021126,0.545360,0.375507,-0.012648,0.550519,0.372991,-0.003320,0.560790,0.330281,-0.012165,0.543372,0.324557,-0.017112,0.556429,0.352200,-0.008415,0.563078,0.352210,-0.000386
1780385266.047,right,thumb_down,0.631005,0.463333,-0.000000,0.594326,0.484929,-0.008727,0.553227,0.484107,-0.013658,0.520595,0.484511,-0.020269,0.499033,0.501092,-0.024780,0.557196,0.408729,0.002015,0.533179,0.384144,-0.012433,0.552068,0.415321,-0.019852,0.564738,0.428453,-0.022980,0.569784,0.383382,-0.000178,0.548111,0.362974,-0.015113,0.569209,0.401261,-0.017785,0.578892,0.406988,-0.016283,0.584926,0.361580,-0.005261,0.561017,0.339044,-0.018761,0.579356,0.376053,-0.011884,0.589969,0.383833,-0.003967,0.602390,0.343127,-0.011471,0.581729,0.327028,-0.017294,0.591149,0.356238,-0.010095,0.600248,0.364294,-0.003145
1780385266.578,right,thumb_down,0.655157,0.468310,-0.000000,0.619537,0.482064,-0.009403,0.579557,0.480553,-0.016006,0.546816,0.483494,-0.024096,0.526252,0.501751,-0.029890,0.581272,0.400023,0.001043,0.559532,0.374108,-0.014003,0.574837,0.402057,-0.021217,0.585593,0.415625,-0.023901,0.595303,0.377220,-0.000881,0.576911,0.358868,-0.015654,0.595523,0.397457,-0.017600,0.601109,0.399744,-0.015425,0.612013,0.357705,-0.005868,0.592362,0.339735,-0.019504,0.608837,0.377133,-0.012603,0.615320,0.379955,-0.004576,0.630744,0.341580,-0.012007,0.612901,0.330060,-0.017088,0.621606,0.360103,-0.009404,0.628219,0.364650,-0.002019
1780385267.107,right,thumb_down,0.650916,0.426651,-0.000000,0.613493,0.447883,-0.016408,0.577805,0.464290,-0.029957,0.553196,0.494098,-0.042404,0.540131,0.526114,-0.052404,0.569086,0.334066,-0.017760,0.560265,0.384679,-0.030899,0.577645,0.407247,-0.037955,0.583689,0.396323,-0.043045,0.585744,0.304660,-0.018075,0.579628,0.372969,-0.031015,0.595694,0.395200,-0.033135,0.601236,0.375263,-0.034383,0.608038,0.293828,-0.020388,0.600514,0.357909,-0.030989,0.611354,0.379140,-0.026349,0.615517,0.359088,-0.023017,0.629982,0.291708,-0.024926,0.621559,0.337605,-0.029135,0.625913,0.358011,-0.024636,0.630060,0.347093,-0.021103
1780385267.652,right,thumb_down,0.638679,0.405315,-0.000000,0.618843,0.437308,-0.024356,0.594412,0.475323,-0.043889,0.583430,0.524710,-0.059904,0.573869,0.566755,-0.073804,0.571253,0.360503,-0.042545,0.588264,0.414738,-0.055943,0.597294,0.423766,-0.060098,0.594437,0.410920,-0.063606,0.593209,0.323856,-0.040021,0.613192,0.398758,-0.051967,0.619072,0.416714,-0.051826,0.613497,0.400736,-0.053442,0.619084,0.307248,-0.038423,0.634008,0.376467,-0.049418,0.636822,0.397366,-0.043322,0.632919,0.387969,-0.040148,0.642872,0.302610,-0.039561,0.653008,0.343816,-0.048860,0.652731,0.368893,-0.045955,0.649024,0.372871,-0.043389
1780385268.194,right,thumb_down,0.624476,0.419247,-0.000000,0.606294,0.464254,-0.022883,0.587831,0.511225,-0.040662,0.586558,0.561464,-0.055356,0.590463,0.609359,-0.067931,0.536460,0.409470,-0.033423,0.557327,0.435509,-0.044868,0.574122,0.446134,-0.049809,0.575106,0.444746,-0.053975,0.549138,0.358624,-0.031016,0.574216,0.398794,-0.040756,0.585747,0.417203,-0.042577,0.583330,0.415575,-0.045666,0.570453,0.325868,-0.029779,0.592674,0.367692,-0.038065,0.602288,0.390324,-0.034890,0.601359,0.392754,-0.034021,0.593207,0.305574,-0.031209,0.607383,0.328376,-0.037230,0.614644,0.354266,-0.034541,0.615376,0.366920,-0.032653
